Address,Unit#,City,State,Zip,County,FIPS,APN#
2832 W PALMER ST,,CHICAGO,IL,60647,Cook,17031,13253250280000
1250 NORTH CEDAR STREE,,GLENDALE,CA,91207,Cook,17031,13253250290000
3118 W FULLERTON#1,,CHICAGO,IL,60647,Cook,17031,13253250360000
1834 WAKE FOREST 6222,,WINSTONSALEM,NC,27109,Cook,17031,13253250210000
3126 W FULLERON AV,,CHICAGO,IL,60647,Cook,17031,13253250340000
3110 W FULLERTON,,CHICAGO,IL,60647,Cook,17031,13253250390000
3130 W FULLERTON AVE1E,,CHICAGO,IL,60647,Cook,17031,13253250511001
1127 PUTNAM ST,,GARY,IN,46403,Cook,17031,13253250511002
3130 W FULLERTON AVE2E,,CHICAGO,IL,60647,Cook,17031,13253250511003
3130 W FULLERTON AVE2W,,CHICAGO,IL,60647,Cook,17031,13253250511004
3130 W FULLERTON AVE3E,,CHICAGO,IL,60647,Cook,17031,13253250511005
3130 W FULLERTON 3W,,CHICAGO,IL,60647,Cook,17031,13253250511006
2435 N ALBANY AVE#1,,CHICAGO,IL,60647,Cook,17031,13253200831001
2435 N ALBANY AVE#2,,CHICAGO,IL,60647,Cook,17031,13253200831002
2435 N ALBANY AVE#3,,CHICAGO,IL,60647,Cook,17031,13253200831003
2435 N ALBANY AVE#4,,CHICAGO,IL,60647,Cook,17031,13253200831004
2435 N ALBANY,,CHICAGO,IL,60647,Cook,17031,13253200831005
2437 N ALBANY,2,CHICAGO,IL,60647,Cook,17031,13253200831006
2437 N ALBANY,3,CHICAGO,IL,60647,Cook,17031,13253200831007
2437 N ALBANY AVE#4,,CHICAGO,IL,60647,Cook,17031,13253200831008
3134 W FULLERTON AVE,,CHICAGO,IL,60647,Cook,17031,13253250320000
2439 N ALBANY AVE#2S,,CHICAGO,IL,60647,Cook,17031,13253200821004
2439 N ALBANY AVE#2N,,CHICAGO,IL,60647,Cook,17031,13253200821003
2439 N ALBANY AVE,3N,CHICAGO,IL,60647,Cook,17031,13253200821005
2542 W LOGEN BLVD,,CHICAGO,IL,60647,Cook,17031,13253200540000
3136 W FULLERTON AVE,,CHICAGO,IL,60647,Cook,17031,13253250310000
2447 N ALBANY,,CHICAGO,IL,60647,Cook,17031,13253200500000
2510 WILMETTE AVE,,WILMETTE,IL,60091,Cook,17031,13253250420000
2425 N ALBANY 2ND,FL OO,CHICAGO,IL,60647,Cook,17031,13253200560000
915 N HOWE ST,,CHICAGO,IL,60610,Cook,17031,13253200480000
2460 N ALBANY AVE#1,,CHICAGO,IL,60647,Cook,17031,13253250451001
2741 N Albany Ave,,CHICAGO,IL,60647,Cook,17031,13253250451003
2460 N ALBANY,,CHICAGO,IL,60647,Cook,17031,13253250451004
2466 N ALBANY UNIT,1,CHICAGO,IL,60647,Cook,17031,13253250451006
2466 N ALBANY AVE#3,,CHICAGO,IL,60647,Cook,17031,13253250451008
2468 N ALBANY,1,CHICAGO,IL,60647,Cook,17031,13253250451009
2468 N ALBANY 2,,CHICAGO,IL,60647,Cook,17031,13253250451010
2138 WILMETTE AV,,WILMETTE,IL,60091,Cook,17031,13253250451011
2417 N ALBANY AV,,CHICAGO,IL,60647,Cook,17031,13253200580000
6310 N CICERO AVE,,CHICAGO,IL,60646,Cook,17031,13253250120000
333 W NORTH AVENUE 261,,CHICAGO,IL,60610,Cook,17031,13253250130000
2423 N KEDIZE BLVD,,CHICAGO,IL,60647,Cook,17031,13253250110000
1225 N OAK PARK AV,,OAK PARK,IL,60302,Cook,17031,13253250140000
659 W ARLINGTON PL,,CHICAGO,IL,60614,Cook,17031,13253250100000
4339 W FULLERTON AVE,,CHICAGO,IL,60639,Cook,17031,13253250090000
516 N OGDEN AVE,137,CHICAGO,IL,60642,Cook,17031,13253250150000
2413 N ALBANY AVE,,CHICAGO,IL,60647,Cook,17031,13253200600000
2462 N LINDEN PL,,CHICAGO,IL,60647,Cook,17031,13253200230000
002468N LINDEN PLACE,,CHICAGO,IL,60647,Cook,17031,13253200210000
