pin,ward,community_area,census_tract,zip
10231300150000,,,17031807200,60076
10233220330000,,,17031807600,60076
10241160880000,2,,17031809700,60202
10242140350000,2,,17031809700,60202
10242190331007,4,,17031809700,60202
10243120530000,9,,17031810301,60202
10244310140000,9,,17031810302,60202
10252201520000,8,,17031810301,60202
10253110200000,50,2,17031020200,60645
12011240010000,,,,60631
10271090380000,,,17031807600,60076
10271190050000,,,17031807600,60076
10272050300000,,,17031807500,60076
10272070570000,,,17031807500,60076
10272080880000,,,17031807400,60076
10274150580000,,,17031807600,60076
10281020430000,,,17031808302,60053
10284140210000,,,17031807700,60077
10293060070000,45,12,17031120100,60646
12013220200000,,,,60631
10301060440000,,,17031808200,60714
10301251510000,,,17031808200,60714
10313090230000,41,10,17031100200,60631
10314130280000,41,10,17031100200,60631
10321080330000,45,12,17031120100,60646
10322030350000,,,17031808100,60714
10331010710000,,,17031807800,60077
10332300470000,,,17031807800,60077
10333110090000,45,12,17031120200,60646
13361160370000,35,,17031221200,60647
10334230420000,,,17031807900,60712
10334310270000,45,12,17031120200,
10341240660000,,,17031808001,60712
10342240580000,,,17031808001,60712
10343100660000,,,17031807900,60712
10345000160000,,,17031807900,
10343220170000,,,17031807900,60712
11303072121004,49,2,17031020100,60645
11303072121021,49,2,17031020100,60645
13234010190000,35,,17031831100,60618
11303072121027,49,2,17031020100,60645
11303072121029,49,2,17031020100,60645
11303210610000,49,2,17031020100,60645
11304180160000,49,1,17031010201,60626
11311000070000,50,2,17031020400,60645
11311140160000,40,2,17031020400,60645
11312020321006,49,1,17031010702,60626
11312020321015,49,1,17031010702,60626
11321100341006,49,1,17031010501,60626
13241110240000,33,,17031160700,60618
11321100341007,49,1,17031010501,60626
11321100341024,49,1,17031010501,60626
11322000341001,49,1,17031010400,60626
11323140401007,49,1,17031830600,60645
11323270331022,49,1,17031010600,60626
12011080010000,41,10,17031100400,60631
12012050240000,41,9,17031090300,60631
12012160550000,41,10,17031100300,60631
12013110480000,41,10,17031100400,60631
13251020010000,33,,17031210700,60618
12013220450000,41,10,17031100500,60631
12022000010000,,,17031810400,60068
12022140100000,,,17031810400,60068
12022160060000,,,17031810400,60068
12022200090000,,,17031810400,60068
12024060070000,,,17031810400,60068
10362110110000,50,2,17031020302,60645
10363200571002,50,2,17031020702,60645
11071090250000,1,,17031809300,60201
12014040620000,,,,60631
11071130100000,7,,17031809300,60201
11181050451021,1,,17031808702,60201
11181050451026,1,,17031808702,60201
11181080280000,5,,17031809300,60201
11192150290000,3,,17031809900,60202
11192200291046,3,,17031809900,60202
11192200291062,3,,17031809900,60202
11192200291082,3,,17031809900,60202
11192200291085,3,,17031809900,60202
12024050020000,,,,60068
11192200291125,3,,17031809900,60202
11192210060000,3,,17031809900,60202
11193280100000,9,,17031810100,60202
11194010251017,3,,17031810000,60202
11194060010000,9,,17031810100,
11194130860000,3,,17031810000,60202
11293030030000,49,1,17031010300,60626
11301040331022,9,,17031810200,60202
11301080591006,8,,17031810200,60202
10362010321006,,,,60645
11301080591015,8,,17031810200,60202
11301100631001,8,,17031810200,60202
12042080590000,,,17031770700,60018
12044030150000,,,17031770700,60018
12111030391007,41,76,17031760801,60656
12111040331033,41,76,17031760801,60631
12111180340000,41,76,17031760803,60656
12113010430000,41,76,17031760803,60656
12113100981010,41,76,17031770902,60656
13253150691009,35,,17031220500,60647
12121090100000,41,10,17031100500,60656
12122080920000,41,10,17031100500,60656
12122290070000,41,10,17031100500,60656
12123090630000,,,17031770901,60706
12124210140000,,,17031770901,60706
12131120250000,,,17031810501,60706
12131130230000,,,17031810501,60706
12132050040000,,,17031810502,60706
12134090190000,,,17031810502,60706
12141080260000,38,76,17031760802,60656
12141220090000,38,76,17031760802,60656
12142120500000,,,17031810501,60706
12151140100000,,,17031770800,60176
12153240250000,,,17031811600,60176
12164000210000,,,17031770800,60176
12164140370000,,,17031811600,60176
12212010140000,,,17031811600,60176
12282020020000,,,17031811401,60131
10362270450000,,,,60645
12282270140000,,,17031811402,60131
12283020320000,,,17031811402,60131
12284140080000,,,17031811402,60131
12284190140000,,,17031811402,60131
12293020280000,,,17031811702,60164
12294001120000,,,17031811702,60164
12304020541004,,,17031811702,60164
12312000230000,,,17031811800,60164
12322120130000,,,17031811301,60164
12322130240000,,,17031811301,60164
12323050060000,,,17031811800,60164
12323230010000,,,17031811800,60164
12323270020000,,,17031811800,60164
12331220220000,,,17031811301,60164
12334000440000,,,17031811302,60160
12361020290000,,,17031811000,60707
12364100100000,,,17031810900,60707
12364220400000,,,17031810900,60707
10364160411001,,,,60645
13011120401003,50,2,17031020702,60659
13011140351008,50,2,17031020702,60659
13011190511003,50,2,17031020702,60659
13011210421002,50,2,17031020702,60659
13013100180000,50,2,17031020701,60659
13021060330000,50,13,17031130100,60659
12213120590000,,,17031811500,60131
12213120710000,,,17031811500,60131
12214100240000,,,17031811500,60131
20203170100000,17,,,60636
12223020020000,,,17031811500,60131
12232180010000,38,17,17031170500,60634
12242120210000,38,17,17031170400,60634
12242230280000,38,17,17031170400,60634
12243060290000,38,17,17031170700,60634
12243060340000,38,17,17031170700,60634
12244280310000,29,17,17031170800,60634
12251060160000,,,17031810800,60707
12251090550000,,,17031810800,60707
13254260060000,1,,17031220300,60647
12251260230000,,,17031810800,60707
12254270571002,,,17031810702,60707
12271030550000,,,17031811401,60131
12272150190000,,,17031811200,60131
13022060220000,50,13,17031130100,
13024210421013,39,13,17031130300,60659
13034100020000,39,13,17031130200,60646
13042040170000,39,12,17031120200,60646
13043030090000,39,11,17031110100,60646
13262110330000,35,,17031210601,60618
13043050320000,39,11,17031110100,60646
13052090010000,39,11,17031110100,60646
13053320250000,45,10,17031100100,60646
13061100370000,41,10,17031100200,60631
13063160120000,41,10,17031100300,60631
13063170190000,41,10,17031100300,60631
13064020260000,41,10,17031100200,60631
13081060010000,45,11,17031110200,60630
13082000440000,45,11,17031110200,60630
13264010050000,35,,17031220602,60647
13084140490000,45,11,17031110400,60630
13091020050000,45,11,17031110100,60630
13091340490000,45,11,17031110501,60630
13094160160000,45,11,17031110502,60630
13094230180000,45,12,17031120400,60630
13103110270000,39,14,17031140400,60630
13103120220000,39,14,17031140400,60630
13103140540000,39,14,17031140400,60630
13112010481001,39,13,17031831800,60625
20204130370000,17,,,60621
13114010470000,39,13,17031831800,60625
13121110580000,39,4,17031040300,60625
13121150481026,39,4,17031040300,60625
13121180430000,39,4,17031040300,60625
13122330320000,40,4,17031040202,60625
13123090030000,33,14,17031140100,60625
13131030180000,33,14,17031140800,60625
13131080100000,33,14,17031140800,60625
13131100010000,40,14,17031140800,60625
13264090150000,35,,17031220602,60647
13131120060000,33,14,17031140800,60625
13131290401004,33,14,17031140800,60618
13132100411007,47,4,17031040700,60625
13132100411017,47,4,17031040700,60625
13132290341001,40,14,17031140800,60618
13132310160000,47,4,17031040800,60625
13142180230000,33,14,17031140702,60625
13142260391002,33,14,17031140702,60625
13143040150000,33,16,17031160400,60618
10364180200000,,,,60645
13143140390000,33,16,17031160400,60618
13143210171010,39,16,17031160400,60618
13144160441001,33,16,17031160502,60618
13152050300000,39,14,17031140500,60630
13154090090000,39,16,17031160300,60641
13154160461008,39,16,17031160300,60641
13154180310000,39,16,17031160300,60641
13161020261007,45,15,17031150300,60630
13163150260000,38,15,17031150300,60641
13322060260000,37,,17031191302,60639
13163200010000,38,15,17031150300,60641
13171120620000,38,15,17031150501,60630
13264260290000,35,22,17031220601,60647
13271170190000,31,19,17031190100,60641
13271190110000,31,20,17031200100,60641
13271220380000,31,19,17031190100,60641
13272050050000,31,21,17031210400,60641
13272160360000,31,20,17031200100,60641
13273040240000,31,19,17031190900,60639
13324160160000,29,,17031250400,60639
13273100090000,31,20,17031200200,60639
13273210040000,31,19,17031190900,60639
13274180130000,31,20,17031200200,60639
13281130220000,31,19,17031190300,60641
13282220320000,31,19,17031190200,60641
13283070421003,31,19,17031190701,60639
13284060330000,31,19,17031190800,60639
13284110090000,31,19,17031190800,60639
13284260340000,31,19,17031190800,60639
13331030320000,37,,17031191200,60639
17053081101002,1,24,17031242000,60642
17053210391001,1,24,17031242000,60642
17061140661002,1,24,17031241200,
17062070291005,1,24,17031241400,60622
17062190400000,1,24,17031241500,60622
17063080411013,1,24,17031242400,60622
17063080411003,1,24,17031242400,60622
17063150461001,1,24,17031242300,60622
17063270521002,36,24,17031242300,60622
13331030370000,37,,17031191200,60639
17063270521003,36,24,17031242300,60622
17064290351003,1,24,17031242100,60622
17064320310000,1,24,17031242100,60622
17071020060000,36,24,17031243000,60622
17071140230000,36,24,17031242900,60612
17072070050000,1,24,17031243200,60622
17072140040000,1,24,17031243200,60622
17072150721003,1,24,17031243200,60622
17072280321008,27,24,17031243200,60622
20204270170000,17,,,60621
17072290350000,27,24,17031243100,60622
17081020020000,27,24,17031243300,60642
17081040130000,27,24,17031243400,60642
17081210130000,1,24,17031243300,60642
17081250391002,1,24,17031243400,60642
17082220201022,27,24,17031243500,60642
17082220201031,27,24,17031243500,60642
