pin,permit_date,permit_type
14282000031012,2014-06-03,PERMIT - EASY PERMIT PROCESS
14282000031021,2014-06-03,PERMIT - EASY PERMIT PROCESS
14282000031067,2014-06-03,PERMIT - EASY PERMIT PROCESS
14282000031075,2014-06-03,PERMIT - EASY PERMIT PROCESS
14282000031136,2014-06-03,PERMIT - EASY PERMIT PROCESS
14282000031146,2014-06-03,PERMIT - EASY PERMIT PROCESS
14282000031173,2014-06-03,PERMIT - EASY PERMIT PROCESS
17032040641001,2017-11-29,PERMIT - RENOVATION/ALTERATION
17032040641012,2017-11-29,PERMIT - RENOVATION/ALTERATION
17032040641014,2017-11-29,PERMIT - RENOVATION/ALTERATION
17032040641080,2017-11-29,PERMIT - RENOVATION/ALTERATION
17032040641082,2017-11-29,PERMIT - RENOVATION/ALTERATION
17032040641118,2017-11-29,PERMIT - RENOVATION/ALTERATION
17101030271021,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271025,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271032,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271069,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271079,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271119,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271149,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271195,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271200,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271212,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271254,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271288,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271363,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271368,2020-07-14,PERMIT - EASY PERMIT PROCESS
17101030271387,2020-07-14,PERMIT - EASY PERMIT PROCESS
17032080211040,2021-12-03,PERMIT - EASY PERMIT PROCESS
17032080211056,2021-12-03,PERMIT - EASY PERMIT PROCESS
17032080211074,2021-12-03,PERMIT - EASY PERMIT PROCESS
17032080211081,2021-12-03,PERMIT - EASY PERMIT PROCESS
17032080211101,2021-12-03,PERMIT - EASY PERMIT PROCESS
17032080211126,2021-12-03,PERMIT - EASY PERMIT PROCESS
14202140040000,2023-11-03,PERMIT - RENOVATION/ALTERATION
17282140160000,2024-03-12,PERMIT - RENOVATION/ALTERATION
13351210350000,2025-10-08,PERMIT - RENOVATION/ALTERATION
13132080330000,2024-08-16,PERMIT – EXPRESS PERMIT PROGRAM
13352360351002,2025-07-07,PERMIT – EXPRESS PERMIT PROGRAM
13352360351004,2025-07-07,PERMIT – EXPRESS PERMIT PROGRAM
14312090421012,2025-10-14,PERMIT – EXPRESS PERMIT PROGRAM
20304210410000,2025-10-14,PERMIT – EXPRESS PERMIT PROGRAM
13174280050000,2025-10-14,PERMIT – EXPRESS PERMIT PROGRAM
11314080181017,2009-08-04,PERMIT - EASY PERMIT PROCESS
17092090220000,2010-12-07,PERMIT - RENOVATION/ALTERATION
25104020150000,2026-01-28,PERMIT – EXPRESS PERMIT PROGRAM
14061100330000,2016-10-05,PERMIT - EASY PERMIT PROCESS
14163050211015,2018-01-03,PERMIT - RENOVATION/ALTERATION
14163050211054,2018-01-03,PERMIT - RENOVATION/ALTERATION
20143060170000,2018-07-18,PERMIT - NEW CONSTRUCTION
13171100250000,2019-05-30,PERMIT - RENOVATION/ALTERATION
17042040050000,2021-08-06,PERMIT - RENOVATION/ALTERATION
17102140161020,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161031,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161033,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161076,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161100,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161161,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161231,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161236,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161241,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161268,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161317,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161333,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161388,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161405,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161498,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161530,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161558,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161656,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161668,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161697,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161728,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161754,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161766,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161799,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161824,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161833,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161865,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161868,2024-02-21,PERMIT - RENOVATION/ALTERATION
17102140161870,2024-02-21,PERMIT - RENOVATION/ALTERATION
14292200461002,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551042,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551091,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551119,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551177,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551185,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551190,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551192,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551200,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551201,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551210,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
14313240551279,2024-09-16,PERMIT – EXPRESS PERMIT PROGRAM
13262290411014,2025-03-31,PERMIT – EXPRESS PERMIT PROGRAM
17084290060000,2025-10-15,PERMIT - ELEVATOR EQUIPMENT
20231210350000,2025-10-15,PERMIT - RENOVATION/ALTERATION
25184060211010,2009-11-20,PERMIT - RENOVATION/ALTERATION
25184060211065,2009-11-20,PERMIT - RENOVATION/ALTERATION
25184060211072,2009-11-20,PERMIT - RENOVATION/ALTERATION
20192050250000,2023-04-11,PERMIT - RENOVATION/ALTERATION
19161000028062,2023-05-05,PERMIT - RENOVATION/ALTERATION
19161000028071,2023-05-05,PERMIT - RENOVATION/ALTERATION
17073300200000,2023-07-07,PERMIT - RENOVATION/ALTERATION
17073290020000,2023-09-27,PERMIT - RENOVATION/ALTERATION
14163010411036,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411053,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411083,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411101,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411108,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411112,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411141,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411161,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411177,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411184,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
14163010411281,2024-05-15,PERMIT - ELEVATOR EQUIPMENT
