pin,violation_date,status,category
16354120020000,2026-01-29,OPEN,PERMIT
17104000110000,2026-01-28,OPEN,PERMIT
17104000110000,2026-01-28,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17104000110000,2026-01-23,OPEN,PERMIT
17151050170000,2026-01-15,OPEN,COMPLAINT
17151050170000,2026-01-15,OPEN,COMPLAINT
17151040080000,2026-01-14,OPEN,PERMIT
17151040080000,2026-01-14,OPEN,PERMIT
17151040080000,2026-01-14,OPEN,PERMIT
17103000260000,2026-01-14,OPEN,COMPLAINT
17151040080000,2026-01-14,OPEN,PERMIT
17151040080000,2026-01-14,OPEN,PERMIT
17151040080000,2026-01-14,OPEN,PERMIT
17151040080000,2026-01-14,OPEN,PERMIT
17103000260000,2026-01-14,OPEN,COMPLAINT
17103000260000,2026-01-14,OPEN,COMPLAINT
17151040080000,2026-01-14,OPEN,PERMIT
17151040080000,2026-01-14,OPEN,PERMIT
17104000110000,2026-01-07,COMPLIED,PERMIT
17104000110000,2026-01-02,OPEN,PERMIT
17104000110000,2026-01-02,OPEN,PERMIT
17104000110000,2026-01-02,OPEN,PERMIT
17104000110000,2026-01-02,OPEN,PERMIT
17104000110000,2026-01-02,OPEN,PERMIT
17104000110000,2026-01-02,OPEN,PERMIT
17104000110000,2025-12-26,COMPLIED,PERMIT
17102190350000,2025-12-26,OPEN,PERIODIC
17102210010000,2025-12-24,OPEN,PERIODIC
17102230010000,2025-12-23,OPEN,PERIODIC
17102230010000,2025-12-23,OPEN,PERIODIC
16343020320000,2025-12-22,OPEN,PERIODIC
16351010390000,2025-12-17,OPEN,COMPLAINT
16351010390000,2025-12-17,OPEN,COMPLAINT
16351010390000,2025-12-17,OPEN,COMPLAINT
16351010390000,2025-12-17,OPEN,COMPLAINT
