sr_number,raw_address,house,direction,street_name,street_type,address_key
SR19-03145236,,,,,,
SR19-02516465,7826 S KENTON AVE,7826,S,KENTON,AVE,7826 S KENTON AVE
SR20-04303388,2846 W 39TH PL,2846,W,39TH,PL,2846 W 39TH PL
SR19-01197897,,,,,,
SR19-01381512,1600 S CANAL ST,1600,S,CANAL,ST,1600 S CANAL ST
SR19-01902394,,,,,,
SR22-01324334,3656 W 82ND ST,3656,W,82ND,ST,3656 W 82ND ST
SR19-01802317,21 W CHESTNUT ST,21,W,CHESTNUT,ST,21 W CHESTNUT ST
SR20-04407621,2357 W 95TH ST,2357,W,95TH,ST,2357 W 95TH ST
SR19-03035743,1456 W FLETCHER ST,1456,W,FLETCHER,ST,1456 W FLETCHER ST
SR22-01797716,4840 S LAFLIN ST,4840,S,LAFLIN,ST,4840 S LAFLIN ST
SR19-02279389,2854 N DRAKE AVE,2854,N,DRAKE,AVE,2854 N DRAKE AVE
SR20-05472978,7331 W COYLE AVE,7331,W,COYLE,AVE,7331 W COYLE AVE
SR21-00622540,1144 N LAWLER AVE,1144,N,LAWLER,AVE,1144 N LAWLER AVE
SR19-02783174,3235 S UNION AVE,3235,S,UNION,AVE,3235 S UNION AVE
SR19-02996412,7911 S RACINE AVE,7911,S,RACINE,AVE,7911 S RACINE AVE
SR19-01106198,31oo W Irving park RD,31OO,W,IRVING PARK,RD,31OO W IRVING PARK RD
SR19-01909040,11220 S WALLACE ST,11220,S,WALLACE,ST,11220 S WALLACE ST
SR20-05253579,2800 W CERMAK RD,2800,W,CERMAK,RD,2800 W CERMAK RD
SR19-02135360,,,,,,
SR19-01039186,1200 N AUSTIN BLVD,1200,N,AUSTIN,BLVD,1200 N AUSTIN BLVD
SR19-01962746,508 W MELROSE ST,508,W,MELROSE,ST,508 W MELROSE ST
SR19-00145428,1400 E Congress Parkway AVE,1400,E,CONGRESS PARKWAY,AVE,1400 E CONGRESS PARKWAY AVE
SR20-04706302,5800 S HARLEM AVE,5800,S,HARLEM,AVE,5800 S HARLEM AVE
SR20-04425291,517 W 127TH ST,517,W,127TH,ST,517 W 127TH ST
SR21-01335603,3925 W GEORGE ST,3925,W,GEORGE,ST,3925 W GEORGE ST
SR20-03419710,4848 N CLARK ST,4848,N,CLARK,ST,4848 N CLARK ST
SR20-04710119,182 W LAKE ST,182,W,LAKE,ST,182 W LAKE ST
SR19-03093743,526 N KEDZIE AVE,526,N,KEDZIE,AVE,526 N KEDZIE AVE
SR19-01606710,9769 S OGLESBY AVE,9769,S,OGLESBY,AVE,9769 S OGLESBY AVE
SR19-01413822,2919 S WESTERN AVE,2919,S,WESTERN,AVE,2919 S WESTERN AVE
SR19-01941189,,,,,,
SR19-02361614,1440 W WELLINGTON AVE,1440,W,WELLINGTON,AVE,1440 W WELLINGTON AVE
SR19-02452604,6600 S ARTESIAN AVE,6600,S,ARTESIAN,AVE,6600 S ARTESIAN AVE
