owner_id,pin,year,raw_address,house,direction,street_name,street_type,address_key
170911210714342024,17091121071434,2024,501 N CLINTON ST P-436,501,N,CLINTON,ST,501 N CLINTON ST
161350200200002006,16135020020000,2006,W ROOSEVELT RD,,,,,
010110001200002013,01011000120000,2013,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350200200002007,16135020020000,2007,W ROOSEVELT RD,,,,,
010110001200002014,01011000120000,2014,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
170911301213632024,17091130121363,2024,758 N LARRABEE ST GU122,758,N,LARRABEE ST GU122,,758 N LARRABEE ST GU122
161350200200002008,16135020020000,2008,W ROOSEVELT RD,,,,,
161350200200002009,16135020020000,2009,W ROOSEVELT RD,,,,,
022330203300002024,02233020330000,2024,306 S OAK ST,306,S,OAK,ST,306 S OAK ST
161350200200002010,16135020020000,2010,W ROOSEVELT RD,,,,,
161350200200002011,16135020020000,2011,W ROOSEVELT RD,,,,,
161350200200002012,16135020020000,2012,W ROOSEVELT RD,,,,,
170911301812302024,17091130181230,2024,700 N LARRABEE ST GU-12,700,N,LARRABEE ST GU-12,,700 N LARRABEE ST GU-12
170911301813312024,17091130181331,2024,700 N LARRABEE ST GU114,700,N,LARRABEE ST GU114,,700 N LARRABEE ST GU114
161350200200002013,16135020020000,2013,W ROOSEVELT RD,,,,,
161350200200002014,16135020020000,2014,W ROOSEVELT RD,,,,,
161350200200002015,16135020020000,2015,W ROOSEVELT RD,,,,,
161350200200002016,16135020020000,2016,W ROOSEVELT RD,,,,,
022330203500001999,02233020350000,1999,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200200002017,16135020020000,2017,W ROOSEVELT RD,,,,,
170912201011882024,17091220101188,2024,510 W ERIE ST 2-1,510,W,ERIE ST 2-1,,510 W ERIE ST 2-1
170912201012622024,17091220101262,2024,510 W ERIE ST 3-39,510,W,ERIE ST 3-39,,510 W ERIE ST 3-39
161350200200002018,16135020020000,2018,W ROOSEVELT RD,,,,,
022330203500002000,02233020350000,2000,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200200002019,16135020020000,2019,W ROOSEVELT RD,,,,,
161350200200002020,16135020020000,2020,W ROOSEVELT RD,,,,,
022330203500002001,02233020350000,2001,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
022330203500002002,02233020350000,2002,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200200002021,16135020020000,2021,W ROOSEVELT RD,,,,,
161350200200002022,16135020020000,2022,W ROOSEVELT RD,,,,,
170912500910182024,17091250091018,2024,UNKNOWN,,,,,
170912601210322024,17091260121032,2024,550 N KINGSBURY ST 305,550,N,KINGSBURY ST 305,,550 N KINGSBURY ST 305
010110001200002015,01011000120000,2015,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
170912602210162024,17091260221016,2024,600 N KINGSBURY ST 701,600,N,KINGSBURY ST 701,,600 N KINGSBURY ST 701
161350200200002023,16135020020000,2023,W ROOSEVELT RD,,,,,
161350200200002024,16135020020000,2024,W ROOSEVELT RD,,,,,
022330203500002003,02233020350000,2003,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
022330203500002004,02233020350000,2004,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200400001999,16135020040000,1999,N FRANCISCO AVE,,,,,
022330203500002005,02233020350000,2005,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
021840101000002024,02184010100000,2024,120 S HAMAN RD,120,S,HAMAN,RD,120 S HAMAN RD
022330203500002006,02233020350000,2006,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200400002000,16135020040000,2000,N FRANCISCO AVE,,,,,
010110001200002016,01011000120000,2016,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
022330203500002007,02233020350000,2007,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200400002001,16135020040000,2001,N FRANCISCO AVE,,,,,
161350200400002002,16135020040000,2002,N FRANCISCO AVE,,,,,
022330203500002008,02233020350000,2008,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200400002003,16135020040000,2003,N FRANCISCO AVE,,,,,
161350200400002004,16135020040000,2004,N FRANCISCO AVE,,,,,
022330203500002009,02233020350000,2009,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
021920200200002024,02192020020000,2024,45 S HAMAN RD,45,S,HAMAN,RD,45 S HAMAN RD
010110001200002017,01011000120000,2017,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
010110001200002018,01011000120000,2018,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
021931802100002024,02193180210000,2024,1380 MICHAEL CT,1380,,MICHAEL,CT,1380 MICHAEL CT
161350200400002005,16135020040000,2005,N FRANCISCO AVE,,,,,
161350200400002006,16135020040000,2006,N FRANCISCO AVE,,,,,
161350200400002007,16135020040000,2007,N FRANCISCO AVE,,,,,
161350200400002008,16135020040000,2008,N FRANCISCO AVE,,,,,
161350200400002009,16135020040000,2009,N FRANCISCO AVE,,,,,
161350200400002010,16135020040000,2010,N FRANCISCO AVE,,,,,
161350200400002011,16135020040000,2011,N FRANCISCO AVE,,,,,
161350200400002012,16135020040000,2012,N FRANCISCO AVE,,,,,
161350200400002013,16135020040000,2013,N FRANCISCO AVE,,,,,
161350200400002014,16135020040000,2014,N FRANCISCO AVE,,,,,
161350200400002015,16135020040000,2015,N FRANCISCO AVE,,,,,
161350200400002016,16135020040000,2016,N FRANCISCO AVE,,,,,
031620201110692024,03162020111069,2024,1005 HARBOUR DR 1A,1005,,HARBOUR DR 1A,,1005 HARBOUR DR 1A
010110001200002019,01011000120000,2019,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350200400002017,16135020040000,2017,N FRANCISCO AVE,,,,,
010110001200002020,01011000120000,2020,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350200400002018,16135020040000,2018,N FRANCISCO AVE,,,,,
031641100910792024,03164110091079,2024,2519 HUNTER DR A,2519,,HUNTER DR A,,2519 HUNTER DR A
022330203500002010,02233020350000,2010,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200400002019,16135020040000,2019,N FRANCISCO AVE,,,,,
161350200400002020,16135020040000,2020,N FRANCISCO AVE,,,,,
022330203500002011,02233020350000,2011,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350200400002021,16135020040000,2021,N FRANCISCO AVE,,,,,
161350200400002022,16135020040000,2022,N FRANCISCO AVE,,,,,
161350200400002023,16135020040000,2023,N FRANCISCO AVE,,,,,
022330203500002012,02233020350000,2012,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
010110001200002021,01011000120000,2021,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350200400002024,16135020040000,2024,N FRANCISCO AVE,,,,,
022330203500002013,02233020350000,2013,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
010110001200002022,01011000120000,2022,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350300100001999,16135030010000,1999,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
