violation_id,raw_address,house,direction,street_name,street_type,address_key
7446421,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446578,7820 S WINCHESTER AVE,7820,S,WINCHESTER,AVE,7820 S WINCHESTER AVE
7446509,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446199,5803 W RICE ST,5803,W,RICE,ST,5803 W RICE ST
7446545,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446407,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446326,604 W ADDISON ST,604,W,ADDISON,ST,604 W ADDISON ST
7446341,501 E 32ND ST,501,E,32ND,ST,501 E 32ND ST
7446584,6615 S WINCHESTER AVE,6615,S,WINCHESTER,AVE,6615 S WINCHESTER AVE
7446546,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446558,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446403,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446332,2458 S SAWYER AVE,2458,S,SAWYER,AVE,2458 S SAWYER AVE
7446517,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446511,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446549,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446577,7820 S WINCHESTER AVE,7820,S,WINCHESTER,AVE,7820 S WINCHESTER AVE
7446258,6505 N BELL AVE,6505,N,BELL,AVE,6505 N BELL AVE
7446320,4253 N KEYSTONE AVE,4253,N,KEYSTONE,AVE,4253 N KEYSTONE AVE
7446522,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446401,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446547,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446544,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446417,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446404,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446512,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446515,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446368,7902 S DREXEL AVE,7902,S,DREXEL,AVE,7902 S DREXEL AVE
7446513,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446439,8535 S GREEN ST,8535,S,GREEN,ST,8535 S GREEN ST
7446490,1257 N ASHLAND AVE,1257,N,ASHLAND,AVE,1257 N ASHLAND AVE
7446327,604 W ADDISON ST,604,W,ADDISON,ST,604 W ADDISON ST
7446518,134 W 111TH ST,134,W,111TH,ST,134 W 111TH ST
7446405,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446442,8535 S GREEN ST,8535,S,GREEN,ST,8535 S GREEN ST
7446450,10032 S MALTA ST,10032,S,MALTA,ST,10032 S MALTA ST
7446336,5040 N LINCOLN AVE,5040,N,LINCOLN,AVE,5040 N LINCOLN AVE
7446200,5803 W RICE ST,5803,W,RICE,ST,5803 W RICE ST
7446548,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446358,925 E 46TH ST,925,E,46TH,ST,925 E 46TH ST
7446440,8535 S GREEN ST,8535,S,GREEN,ST,8535 S GREEN ST
7446322,4253 N KEYSTONE AVE,4253,N,KEYSTONE,AVE,4253 N KEYSTONE AVE
7446400,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446422,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446386,408 E 113TH ST,408,E,113TH,ST,408 E 113TH ST
7446202,5803 W RICE ST,5803,W,RICE,ST,5803 W RICE ST
7446489,1257 N ASHLAND AVE,1257,N,ASHLAND,AVE,1257 N ASHLAND AVE
7446430,7039 S CHAPPEL AVE,7039,S,CHAPPEL,AVE,7039 S CHAPPEL AVE
7446447,3913 W POLK ST,3913,W,POLK,ST,3913 W POLK ST
7446357,925 E 46TH ST,925,E,46TH,ST,925 E 46TH ST
7446321,4253 N KEYSTONE AVE,4253,N,KEYSTONE,AVE,4253 N KEYSTONE AVE
7446420,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446583,6615 S WINCHESTER AVE,6615,S,WINCHESTER,AVE,6615 S WINCHESTER AVE
7446449,10032 S MALTA ST,10032,S,MALTA,ST,10032 S MALTA ST
7446406,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446557,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446550,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446201,5803 W RICE ST,5803,W,RICE,ST,5803 W RICE ST
7446581,6615 S WINCHESTER AVE,6615,S,WINCHESTER,AVE,6615 S WINCHESTER AVE
7446257,6505 N BELL AVE,6505,N,BELL,AVE,6505 N BELL AVE
7446559,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446365,1020 W LAWRENCE AVE,1020,W,LAWRENCE,AVE,1020 W LAWRENCE AVE
7446492,1257 N ASHLAND AVE,1257,N,ASHLAND,AVE,1257 N ASHLAND AVE
7446491,1257 N ASHLAND AVE,1257,N,ASHLAND,AVE,1257 N ASHLAND AVE
7446328,604 W ADDISON ST,604,W,ADDISON,ST,604 W ADDISON ST
7446582,6615 S WINCHESTER AVE,6615,S,WINCHESTER,AVE,6615 S WINCHESTER AVE
7446551,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446543,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446556,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446441,8535 S GREEN ST,8535,S,GREEN,ST,8535 S GREEN ST
7446419,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446416,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446337,5040 N LINCOLN AVE,5040,N,LINCOLN,AVE,5040 N LINCOLN AVE
7446552,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446402,4750 S MICHIGAN AVE,4750,S,MICHIGAN,AVE,4750 S MICHIGAN AVE
7446553,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446554,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446418,5110 S KENWOOD AVE,5110,S,KENWOOD,AVE,5110 S KENWOOD AVE
7446488,1257 N ASHLAND AVE,1257,N,ASHLAND,AVE,1257 N ASHLAND AVE
7446555,7845 S AVALON AVE,7845,S,AVALON,AVE,7845 S AVALON AVE
7446203,5803 W RICE ST,5803,W,RICE,ST,5803 W RICE ST
7446367,7902 S DREXEL AVE,7902,S,DREXEL,AVE,7902 S DREXEL AVE
7445884,5019 W QUINCY ST,5019,W,QUINCY,ST,5019 W QUINCY ST
7445522,5901 W HURON ST,5901,W,HURON,ST,5901 W HURON ST
7446070,2110 N BISSELL ST,2110,N,BISSELL,ST,2110 N BISSELL ST
7445597,3179 W MONROE ST,3179,W,MONROE,ST,3179 W MONROE ST
7446093,4700 N MARINE DR,4700,N,MARINE,DR,4700 N MARINE DR
7446092,4700 N MARINE DR,4700,N,MARINE,DR,4700 N MARINE DR
7445498,318 N LOTUS AVE,318,N,LOTUS,AVE,318 N LOTUS AVE
7445536,1325 W FARGO AVE,1325,W,FARGO,AVE,1325 W FARGO AVE
7445483,331 N CENTRAL AVE,331,N,CENTRAL,AVE,331 N CENTRAL AVE
7446077,2112 N BISSELL ST,2112,N,BISSELL,ST,2112 N BISSELL ST
7445974,3811 W WASHINGTON BLVD,3811,W,WASHINGTON,BLVD,3811 W WASHINGTON BLVD
7445482,331 N CENTRAL AVE,331,N,CENTRAL,AVE,331 N CENTRAL AVE
7377332,4700 N MARINE DR,4700,N,MARINE,DR,4700 N MARINE DR
7445987,3435 W MONTROSE AVE,3435,W,MONTROSE,AVE,3435 W MONTROSE AVE
7446076,2112 N BISSELL ST,2112,N,BISSELL,ST,2112 N BISSELL ST
7446080,2112 N BISSELL ST,2112,N,BISSELL,ST,2112 N BISSELL ST
7446002,8 N LONG AVE,8,N,LONG,AVE,8 N LONG AVE
7445526,700 N MAYFIELD AVE,700,N,MAYFIELD,AVE,700 N MAYFIELD AVE
7445560,8 E 9TH ST,8,E,9TH,ST,8 E 9TH ST
7445500,318 N LOTUS AVE,318,N,LOTUS,AVE,318 N LOTUS AVE
7446068,2110 N BISSELL ST,2110,N,BISSELL,ST,2110 N BISSELL ST
7445949,6458 N MILWAUKEE AVE,6458,N,MILWAUKEE,AVE,6458 N MILWAUKEE AVE
7445598,3179 W MONROE ST,3179,W,MONROE,ST,3179 W MONROE ST
7446166,7851 S KEDZIE AVE,7851,S,KEDZIE,AVE,7851 S KEDZIE AVE
7445528,832 N LONG AVE,832,N,LONG,AVE,832 N LONG AVE
